SABAP2_number,Alphabetical_name,SA_name,Scientific_name,BLI_scientific_name,Assessment_status,ebirds_name,inat_name
575,"Chat, Ant-eating",Ant-eating Chat,Myrmecocichla formicivora,Myrmecocichla formicivora,Assessable,Myrmecocichla formicivora,Myrmecocichla formicivora
574,"Chat, Arnot’s",Arnot’s Chat,Myrmecocichla arnotti,Myrmecocichla arnotti,Assessable,,
538,"Chat, Boulder",Boulder Chat,Pinarornis plumosus,Pinarornis plumosus,Vagrant,Pinarornis plumosus,Pinarornis plumosus
569,"Chat, Buff-streaked",Buff-streaked Chat,Campicoloides bifasciatus,Campicoloides bifasciatus,Assessable,Campicoloides bifasciatus,Campicoloides bifasciatus
570,"Chat, Familiar",Familiar Chat,Oenanthe familiaris,Oenanthe familiaris,Assessable,Oenanthe familiaris,Oenanthe familiaris
566,"Chat, Karoo",Karoo Chat,Emarginata schlegelii,Emarginata schlegelii,Assessable,Emarginata schlegelii,Emarginata schlegelii
573,"Chat, Mocking Cliff",Mocking Cliff Chat,Thamnolaea cinnamomeiventris,Thamnolaea cinnamomeiventris,Assessable,Thamnolaea cinnamomeiventris,Thamnolaea cinnamomeiventris
572,"Chat, Sickle-winged",Sickle-winged Chat,Emarginata sinuata,Emarginata sinuata,Assessable,Emarginata sinuata,Emarginata sinuata
571,"Chat, Tractrac",Tractrac Chat,Emarginata tractrac,Emarginata tractrac,Assessable,Emarginata tractrac,Emarginata tractrac
631,"Cisticola, Cloud",Cloud Cisticola,Cisticola textrix,Cisticola textrix,Assessable,Cisticola textrix,Cisticola textrix
647,"Cisticola, Croaking",Croaking Cisticola,Cisticola natalensis,Cisticola natalensis,Assessable,Cisticola natalensis,Cisticola natalensis
630,"Cisticola, Desert",Desert Cisticola,Cisticola aridulus,Cisticola aridulus,Assessable,Cisticola aridulus,Cisticola aridulus
638,"Cisticola, Grey-backed",Grey-backed Cisticola,Cisticola subruficapilla,Cisticola subruficapilla,Assessable,Cisticola subruficapilla,Cisticola subruficapilla
648,"Cisticola, Lazy",Lazy Cisticola,Cisticola aberrans,Cisticola aberrans,Assessable,Cisticola aberrans,Cisticola aberrans
646,"Cisticola, Levaillant’s",Levaillant’s Cisticola,Cisticola tinniens,Cisticola tinniens,Assessable,Cisticola tinniens,Cisticola tinniens
635,"Cisticola, Pale-crowned",Pale-crowned Cisticola,Cisticola cinnamomeus,Cisticola cinnamomeus,Assessable,Cisticola cinnamomeus,Cisticola cinnamomeus
642,"Cisticola, Rattling",Rattling Cisticola,Cisticola chiniana,Cisticola chiniana,Assessable,Cisticola chiniana,Cisticola chiniana
644,"Cisticola, Red-faced",Red-faced Cisticola,Cisticola erythrops,Cisticola erythrops,Assessable,Cisticola erythrops,Cisticola erythrops
4138,"Cisticola, Rufous-winged",Rufous-winged Cisticola,Cisticola galactotes,Cisticola galactotes,Assessable,Cisticola galactotes,Cisticola galactotes
641,"Cisticola, Tinkling",Tinkling Cisticola,Cisticola rufilatus,Cisticola rufilatus,Assessable,Cisticola rufilatus,Cisticola rufilatus
639,"Cisticola, Wailing",Wailing Cisticola,Cisticola lais,Cisticola lais,Assessable,Cisticola lais,Cisticola lais
634,"Cisticola, Wing-snapping",Wing-snapping Cisticola,Cisticola ayresii,Cisticola ayresii,Assessable,Cisticola ayresii,Cisticola ayresii
629,"Cisticola, Zitting",Zitting Cisticola,Cisticola juncidis,Cisticola juncidis,Assessable,Cisticola juncidis,Cisticola juncidis
212,"Coot, Red-knobbed",Red-knobbed coot,Fulica cristata,Fulica cristata,Assessable,Fulica cristata,Fulica cristata
49,"Cormorant, Bank",Bank Cormorant,Phalacrocorax neglectus,Phalacrocorax neglectus,Assessable,Phalacrocorax neglectus,Phalacrocorax neglectus
48,"Cormorant, Cape",Cape Cormorant,Phalacrocorax capensis,Phalacrocorax capensis,Assessable,Phalacrocorax capensis,Phalacrocorax capensis
51,"Cormorant, Crowned",Crowned Cormorant,Microcarbo coronatus,Microcarbo coronatus,Assessable,Microcarbo coronatus,Microcarbo coronatus
50,"Cormorant, Reed",Reed Cormorant,Microcarbo africanus,Microcarbo africanus,Assessable,Microcarbo africanus,Microcarbo africanus
47,"Cormorant, White-breasted",White-breasted Cormorant,Phalacrocorax lucidus,Phalacrocorax carbo,Assessable,,
353,"Coucal, Black",Black Coucal,Centropus grillii,Centropus grillii,Assessable,Centropus grillii,Centropus grillii
4131,"Coucal, Burchell’s",Burchell’s Coucal,Centropus burchellii,Centropus superciliosus,Assessable,,
355,"Coucal, Senegal",Senegal Coucal,Centropus senegalensis,Centropus senegalensis,Assessable,Centropus senegalensis,Centropus senegalensis
280,"Courser, Bronze-winged",Bronze-winged Courser,Rhinoptilus chalcopterus,Rhinoptilus chalcopterus,Assessable,Rhinoptilus chalcopterus,Rhinoptilus chalcopterus
276,"Courser, Burchell’s",Burchell's Courser,Cursorius rufus,Cursorius rufus,Assessable,Cursorius rufus,Cursorius rufus
278,"Courser, Double-banded",Double-banded Courser,Rhinoptilus africanus,Smutsornis africanus,Assessable,Rhinoptilus africanus,Rhinoptilus africanus
277,"Courser, Temminck’s",Temminck's Courser,Cursorius temminckii,Cursorius temminckii,Assessable,Cursorius temminckii,Cursorius temminckii
279,"Courser, Three-banded",Three-banded Courser,Rhinoptilus cinctus,Rhinoptilus cinctus,Assessable,Rhinoptilus cinctus,Rhinoptilus cinctus
199,"Crake, African",African Crake,Crecopsis egregia,Crex egregia,Assessable,,
202,"Crake, Baillon’s",Baillon's Crake,Zapornia pusilla,Zapornia pusilla,Assessable,,
203,"Crake, Black",Black Crake,Zapornia flavirostra,Zapornia flavirostra,Assessable,,
198,"Crake, Corn",Corn Crake,Crex crex,Crex crex,Assessable,Crex crex,Crex crex
1934,"Crake, Little",Little Crake,Zapornia parva,Zapornia parva,Vagrant,,
201,"Crake, Spotted",Spotted Crake,Porzana porzana,Porzana porzana,Assessable,Porzana porzana,Porzana porzana
200,"Crake, Striped",Striped Crake,Aenigmatolimnas marginalis,Amaurornis marginalis,Assessable,Aenigmatolimnas marginalis,Aenigmatolimnas marginalis
216,"Crane, Blue",Blue Crane,Grus paradisea,Anthropoides paradiseus,Assessable,,
214,"Crane, Grey Crowned",Grey Crowned Crane,Balearica regulorum,Balearica regulorum,Assessable,Balearica regulorum,Balearica regulorum
215,"Crane, Wattled",Wattled Crane,Grus carunculata,Bugeranus carunculatus,Assessable,,
532,"Creeper, African Spotted",African Spotted Creeper,Salpornis salvadori,Salpornis salvadori,Vagrant,Salpornis salvadori,Salpornis salvadori
621,"Crombec, Long-billed",Long-billed crombec,Sylvietta rufescens,Sylvietta rufescens,Assessable,Sylvietta rufescens,Sylvietta rufescens
523,"Crow, Cape",Cape Crow,Corvus capensis,Corvus capensis,Assessable,Corvus capensis,Corvus capensis
989,"Crow, House",House Crow,Corvus splendens,Corvus splendens,Introduced,Corvus splendens,Corvus splendens
522,"Crow, Pied",Pied Crow,Corvus albus,Corvus albus,Assessable,Corvus albus,Corvus albus
341,"Cuckoo, African",African Cuckoo,Cuculus gularis,Cuculus gularis,Assessable,Cuculus gularis,Cuculus gularis
350,"Cuckoo, African Emerald",African Emerald Cuckoo,Chrysococcyx cupreus,Chrysococcyx cupreus,Assessable,Chrysococcyx cupreus,Chrysococcyx cupreus
923,"Cuckoo, Barred Long-tailed",Barred Long-tailed Cuckoo,Cercococcyx montanus,Cercococcyx montanus,Vagrant,Cercococcyx montanus,Cercococcyx montanus
344,"Cuckoo, Black",Black Cuckoo,Cuculus clamosus,Cuculus clamosus,Assessable,Cuculus clamosus,Cuculus clamosus
340,"Cuckoo, Common",Common Cuckoo,Cuculus canorus,Cuculus canorus,Assessable,Cuculus canorus,Cuculus canorus
352,"Cuckoo, Diederik",Diederik Cuckoo,Chrysococcyx caprius,Chrysococcyx caprius,Assessable,Chrysococcyx caprius,Chrysococcyx caprius
346,"Cuckoo, Great Spotted",Great Spotted Cuckoo,Clamator glandarius,Clamator glandarius,Assessable,Clamator glandarius,Clamator glandarius
348,"Cuckoo, Jacobin",Jacobin Cuckoo,Clamator jacobinus,Clamator jacobinus,Assessable,Clamator jacobinus,Clamator jacobinus
351,"Cuckoo, Klaas’s",Klaas's Cuckoo,Chrysococcyx klaas,Chrysococcyx klaas,Assessable,Chrysococcyx klaas,Chrysococcyx klaas
4130,"Cuckoo, Lesser",Lesser Cuckoo,Cuculus poliocephalus,Cuculus poliocephalus,Vagrant,Cuculus poliocephalus,
347,"Cuckoo, Levaillant’s",Levaillant's Cuckoo,Clamator levaillantii,Clamator levaillantii,Assessable,Clamator levaillantii,Clamator levaillantii
1620,"Cuckoo, Madagascan",Madagascan Cuckoo,Cuculus rochii,Cuculus rochii,Vagrant,Cuculus rochii,Cuculus rochii
343,"Cuckoo, Red-chested",Red-chested Cuckoo,Cuculus solitarius,Cuculus solitarius,Assessable,Cuculus solitarius,Cuculus solitarius
345,"Cuckoo, Thick-billed",Thick-billed Cuckoo,Pachycoccyx audeberti,Pachycoccyx audeberti,Assessable,Pachycoccyx audeberti,Pachycoccyx audeberti
513,"Cuckooshrike, Black",Black Cuckooshrike,Campephaga flava,Campephaga flava,Assessable,Campephaga flava,Campephaga flava
516,"Cuckooshrike, Grey",Grey Cuckooshrike,Ceblepyris caesius,Ceblepyris caesius,Assessable,,
515,"Cuckooshrike, White-breasted",White-breasted Cuckooshrike,Ceblepyris pectoralis,Ceblepyris pectoralis,Assessable,,
267,"Curlew, Eurasian",Eurasian Curlew,Numenius arquata,Numenius arquata,Assessable,Numenius arquata,Numenius arquata
52,"Darter, African",African Darter,Anhinga rufa,Anhinga rufa,Assessable,Anhinga rufa,Anhinga rufa
315,"Dove, African Mourning (Mourning Collared)",African Mourning (Mourning Collared) Dove,Streptopelia decipiens,Streptopelia decipiens,Assessable,Streptopelia decipiens,Streptopelia decipiens
320,"Dove, Blue-spotted Wood",Blue-spotted Wood Dove,Turtur afer,Turtur afer,Assessable,Turtur afer,Turtur afer
316,"Dove, Cape Turtle (Ring-necked)",Cape Turtle (Ring-necked) Dove,Streptopelia capicola,Streptopelia capicola,Assessable,Streptopelia capicola,Streptopelia capicola
321,"Dove, Emerald-spotted Wood",Emerald-spotted Wood Dove,Turtur chalcospilos,Turtur chalcospilos,Assessable,Turtur chalcospilos,Turtur chalcospilos
1005,"Dove, European Turtle",European Turtle Dove,Streptopelia turtur,Streptopelia turtur,Vagrant,Streptopelia turtur,Streptopelia turtur
317,"Dove, Laughing",Laughing Dove,Spilopelia senegalensis,Spilopelia senegalensis,Assessable,Spilopelia senegalensis,Spilopelia senegalensis
322,"Dove, Lemon",Lemon Dove,Columba larvata,Aplopelia larvata,Assessable,Columba larvata,Columba larvata
318,"Dove, Namaqua",Namaqua Dove,Oena capensis,Oena capensis,Assessable,Oena capensis,Oena capensis
314,"Dove, Red-eyed",Red-eyed Dove,Streptopelia semitorquata,Streptopelia semitorquata,Assessable,Streptopelia semitorquata,Streptopelia semitorquata
940,"Dove, Rock",Rock Dove,Columba livia,Columba livia,Assessable,Columba livia,Columba livia
319,"Dove, Tambourine",Tambourine Dove,Turtur tympanistria,Turtur tympanistria,Assessable,Turtur tympanistria,Turtur tympanistria
4188,"Dowitcher, Asian",Asiatic Dowitcher,Limnodromus semipalmatus,Limnodromus semipalmatus,Vagrant,Limnodromus semipalmatus,
517,"Drongo, Fork-tailed",Fork-tailed Drongo,Dicrurus adsimilis,Dicrurus adsimilis,Assessable,Dicrurus adsimilis,Dicrurus adsimilis
518,"Drongo, Common Square-tailed",Common Square-tailed Drongo,Dicrurus ludwigii,Dicrurus ludwigii,Assessable,Dicrurus ludwigii,Dicrurus ludwigii
95,"Duck, African Black",African Black Duck,Anas sparsa,Anas sparsa,Assessable,Anas sparsa,Anas sparsa
101,"Duck, Fulvous Whistling",Fulvous Whistling Duck,Dendrocygna bicolor,Dendrocygna bicolor,Assessable,Dendrocygna bicolor,Dendrocygna bicolor
91,"Duck, Knob-billed",Knob-billed Duck,Sarkidiornis melanotos,Sarkidiornis melanotos,Assessable,Sarkidiornis melanotos,Sarkidiornis melanotos
103,"Duck, Maccoa",Maccoa Duck,Oxyura maccoa,Oxyura maccoa,Assessable,Oxyura maccoa,Oxyura maccoa
104,"Duck, White-backed",White-backed Duck,Thalassornis leuconotus,Thalassornis leuconotus,Assessable,Thalassornis leuconotus,Thalassornis leuconotus
100,"Duck, White-faced Whistling",White-faced Whistling Duck,Dendrocygna viduata,Dendrocygna viduata,Assessable,Dendrocygna viduata,Dendrocygna viduata
96,"Duck, Yellow-billed",Yellow-billed Duck,Anas undulata,Anas undulata,Assessable,Anas undulata,Anas undulata
896,Dunlin,Dunlin,Calidris alpina,Calidris alpina,Vagrant,Calidris alpina,Calidris alpina
149,"Eagle, African Fish",African Fish Eagle,Haliaeetus vocifer,Haliaeetus vocifer,Assessable,Haliaeetus vocifer,Haliaeetus vocifer
141,"Eagle, African Hawk",African Hawk Eagle,Aquila spilogaster,Aquila spilogaster,Assessable,Aquila spilogaster,Aquila spilogaster
140,"Eagle, Ayres’s Hawk",Ayres's Hawk Eagle,Hieraaetus ayresii,Hieraaetus ayresii,Assessable,Hieraaetus ayresii,Hieraaetus ayresii
146,"Eagle, Black-chested Snake",Black-chested Snake Eagle,Circaetus pectoralis,Circaetus pectoralis,Assessable,Circaetus pectoralis,Circaetus pectoralis
139,"Eagle, Booted",Booted Eagle,Hieraaetus pennatus,Hieraaetus pennatus,Assessable,Hieraaetus pennatus,Hieraaetus pennatus
145,"Eagle, Brown Snake",Brown Snake Eagle,Circaetus cinereus,Circaetus cinereus,Assessable,Circaetus cinereus,Circaetus cinereus
143,"Eagle, Crowned",Crowned Eagle,Stephanoaetus coronatus,Stephanoaetus coronatus,Assessable,Stephanoaetus coronatus,Stephanoaetus coronatus
136,"Eagle, Lesser Spotted",Lesser Spotted Eagle,Clanga pomarina,Clanga pomarina,Assessable,,
